representacion,modelo,accuracy,desv
C · world crudo,SVM (RBF),0.9546813933264383,0.043048783017155284
C · world crudo,Random Forest,0.9509614243153746,0.02759488450729529
C · world crudo,MLP,0.948875129538092,0.04170460652029187
D · world + distancias,SVM (RBF),0.9469386557755278,0.05412565566529117
C · world crudo,k-NN,0.9447599234020089,0.04459005856558595
D · world + distancias,Random Forest,0.9432349349342072,0.039043729854662784
D · world + distancias,MLP,0.9396450665007983,0.055635246812046506
D · world + distancias,k-NN,0.916380593149,0.05960734300620658
B · img normalizado,SVM (RBF),0.9126070397701108,0.04087851270913155
B · img normalizado,Random Forest,0.9076756858239998,0.04214725712004137
B · img normalizado,MLP,0.8994875851900266,0.04115464138292185
B · img normalizado,k-NN,0.8364638075994083,0.05361024349656544
A · img crudo,SVM (RBF),0.8337843280494495,0.07008111543044535
A · img crudo,MLP,0.8305005509189627,0.07808397461413233
A · img crudo,Random Forest,0.7196197237094337,0.11694707590647177
A · img crudo,k-NN,0.6924558918999044,0.09850164173651814
