representacion,modelo,accuracy,desv
A · solo forma,k-NN,1.0,0.0
A · solo forma,Random Forest,1.0,0.0
C · forma + trayectoria,k-NN,0.9937106918238993,0.008894424920585502
C · forma + trayectoria,Random Forest,0.9937106918238993,0.008894424920585502
A · solo forma,SVM (RBF),0.9935897435897436,0.009065471553673706
C · forma + trayectoria,SVM (RBF),0.9804977143252076,0.0006574570841625877
C · forma + trayectoria,MLP,0.953679294649645,0.026219301606419252
A · solo forma,MLP,0.9256834809395457,0.09208053783971958
B · solo trayectoria,SVM (RBF),0.8028025433685811,0.0787837281544124
B · solo trayectoria,Random Forest,0.7772528459859996,0.059666302836201265
B · solo trayectoria,MLP,0.7628920944284826,0.10384874157515679
B · solo trayectoria,k-NN,0.7572371473988725,0.07560756467869695
